Provider ID,Provider Name ,Address,Governorate,Area,Provider Type,Provider Specialty,Latitude,Longitude,Phone Number
C1302,Shiny White Dental Implant Centers,Capital Business Park - B6 - 2nd Floor,Cairo,New Cairo,Clinic,Dental,30.02539314,31.0130598,19416    
C1302,Shiny White Dental Implant Centers,"20 Nady El Seid Street, above the Bank of Alexandria - Dokki",Cairo,Nasr City,Clinic,Dental,30.04303428,31.20312614,19416    
C1302,Shiny White Dental Implant Centers,27 Dome Street Roxy Square ,Cairo,Al Sheikh Zayed,Clinic,Dental,30.09361239,31.31194601,19416    
C1302,Shiny White Dental Implant Centers,2nd Floor - Maadi Clinic Building - Maadi Corniche - beside Military Hospital of Maadi,Cairo,Heliopolis,Clinic,Dental,29.9631155,31.24682324,19416    
C1302,Shiny White Dental Implant Centers,17 Abou Dawoud El Zahery St. From Makram Ebeid St.,Cairo,Maadi,Clinic,Dental,30.06091619,31.34952706,19416    
C1302,Shiny White Dental Implant Centers,CMC Building Northern 90th St.,Cairo,Dokki,Clinic,Dental,30.02198527,31.4362255,19416    
R106,Borg Scan,"Zayed Capital Business Park B5, third floor",Cairo,Mohandessein,Radiology Center,Radiology Center,30.02553019,31.01301425,19911    
R106,Borg Scan,1 Al-Tawhid Mosque Street Faisal Cooperation Station Faisal ,Cairo,Faisel,Radiology Center,Radiology Center,30.00066047,31.16458395,19911    
R106,Borg Scan,Heliopolis - 67 El Merghany Street,Cairo,Heliopolis,Radiology Center,Radiology Center,30.08561671,31.3266844,19911    
R106,Borg Scan,"30 Algiers Street, Maadi",Cairo,Shoubra,Radiology Center,Radiology Center,29.9857293,31.2737796,19911    
R106,Borg Scan,"55 Abdel Monem Ryad st., - Medical Tower",Cairo,Al Sheikh Zayed,Radiology Center,Radiology Center,30.0584118,31.21166708,19911    
R106,Borg Scan,22 El Sanhoury Street,Cairo,Nasr City,Radiology Center,Radiology Center,30.06290578,31.34077824,19911    
R106,Borg Scan,59 Shubra Street,Cairo,Maadi,Radiology Center,Radiology Center,30.06861203,31.24509111,19911    
O43,Eye Fashion Optics,O Mall - New Alamein - North Coast,Cairo,Nasr City,Optics Shop,Optics,30.85620287,28.95053518,15026    
O43,Eye Fashion Optics,Porto Marina - Shop N26,Cairo,Nasr City,Optics Shop,Optics ,30.82519981,29.00380055,15026    
O43,Eye Fashion Optics,Mall Of Egypt,Cairo,Heliopolis,Optics Shop,Optics ,29.97124548,31.01943706,15026    
O43,Eye Fashion Optics,Galleria 40 Mall - Store N E009,Cairo,Heliopolis,Optics Shop,Optics ,30.01629919,31.00094727,15026    
O43,Eye Fashion Optics,Royal Park Mall - Unit KOG 03 - Shiekh Zayed,Alexandria,San Stefano,Optics Shop,Optics ,30.03731365,31.03231777,15026    
O43,Eye Fashion Optics,Shop No. (5) - O Plaza Mall - Dahshur Link ,Cairo,Cairo,Optics Shop,Optics ,30.02434012,31.21717495,15026    
O43,Eye Fashion Optics,14 Adel Hussien Rostom - Venni Square - Eye Int.  Hospital,Cairo,Dokki,Optics Shop,Optics ,30.04351754,31.21693388,15026    
O43,Eye Fashion Optics,19 Adel Hussien Rostom - Venni Square - Eye Int.  Hospital,Cairo,New Cairo,Optics Shop,Optics ,30.04356573,31.21840534,15026    
O43,Eye Fashion Optics,O Plaza Mall - Dahshour Corridor  - Shiekh Zayed,Cairo,6th October,Optics Shop,Optics ,30.0390755,30.95737599,15026    
O43,Eye Fashion Optics,21 Al Andalus St. Roxy - Eye Int.  Hospital,Cairo,Down Town,Optics Shop,Optics ,30.09911754,31.31710868,15026    
